,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
76,Nico di Angelo/Jason Grace,01 Apr 2019,Nico,Jason,,,,,
77,Jason Grace/Piper McLean,01 Apr 2019,Jason,Piper,,,,,
78,Annabeth Chase/Percy Jackson,01 Apr 2019,Annabeth,Percy,,,,,
79,Hazel Levesque/Frank Zhang,01 Apr 2019,Hazel,Frank,,,,,
80,Reyna Avila Ramírez-Arellano/Leo Valdez,01 Apr 2019,Reyna,Leo,,,,,
81,Nico di Angelo/Will Solace,01 Apr 2019,Nico,Will,,,,,
82,endgame Nico Di Angelo/Jason Grace,01 Apr 2019,Nico,Jason,,,,,
83,Jason Grace/Leo Valdez,01 Apr 2019,Jason,Leo,,,,,
84,Nico di Angelo/Jason Grace,01 Apr 2019,Nico,Jason,,,,,
85,Annabeth Chase/Percy Jackson,01 Apr 2019,Annabeth,Percy,,,,,
86,Luke Castellan/Thalia Grace,01 Apr 2019,Luke,Thalia,,,,,
87,Percy Jackson/Original Female Character,31 Mar 2019,Percy,OC,,,,,
88,Clarisse La Rue/Chris Rodriguez,31 Mar 2019,Clarisse,Chris,,,,,
89,Silena Beauregard/Charles Beckendorf,31 Mar 2019,Silena,Charles,,,,,
90,Jason Grace/Piper McLean,31 Mar 2019,Jason,Piper,,,,,
91,Hazel Levesque/Frank Zhang,31 Mar 2019,Hazel,Frank,,,,,
92,Calypso/Leo Valdez,31 Mar 2019,Calypso,Leo,,,,,
93,Annabeth Chase/Reyna Avila Ramírez-Arellano,31 Mar 2019,Annabeth,Reyna,,,,,
94,Jason Grace/Piper McLean,31 Mar 2019,Jason,Piper,,,,,
95,Percy Jackson/Melinda Ouro’Boros,31 Mar 2019,Percy,Melinda Ouro’Boros,,,,,
96,Jason Grace/Leo Valdez,31 Mar 2019,Jason,Leo,,,,,
97,Original Female Character/Original Male Character,31 Mar 2019,OC,OC,,,,,
98,Jason Grace/Piper McLean,31 Mar 2019,Jason,Piper,,,,,
99,Annabeth Chase/Percy Jackson,31 Mar 2019,Annabeth,Percy,,,,,
100,Nico di Angelo/Percy Jackson,31 Mar 2019,Nico,Percy,,,,,
101,Nico di Angelo/Will Solace,31 Mar 2019,Nico,Will,,,,,
102,Jason Grace/Piper McLean,31 Mar 2019,Jason,Piper,,,,,
103,Annabeth Chase/Percy Jackson,31 Mar 2019,Annabeth,Percy,,,,,
104,Annabeth Chase/Percy Jackson,31 Mar 2019,Annabeth,Percy,,,,,
105,Nico di Angelo/Will Solace,31 Mar 2019,Nico,Will,,,,,
106,Jason Grace/Piper McLean,31 Mar 2019,Jason,Piper,,,,,
107,Calypso/Leo Valdez,31 Mar 2019,Calypso,Leo,,,,,
