Ship,Date
Nico di Angelo & Reyna Avila Ramírez-Arellano,01 Apr 2019
Annabeth Chase & Percy Jackson & Carter Kane & Sadie Kane,01 Apr 2019
Tyson & Grover Underwood,01 Apr 2019
Annabeth Chase & Percy Jackson & Grover Underwood,01 Apr 2019
Blitzen (Magnus Chase) & Grover Underwood,01 Apr 2019
Blitzen & Grover Underwood,01 Apr 2019
Jason Grace & Thalia Grace,01 Apr 2019
Leo Valdez & Sadie Kane,01 Apr 2019
Zia Rashid & Samira al-Abbas,01 Apr 2019
Percy Jackson & Sadie Kane,01 Apr 2019
Nico di Angelo & Hazel Levesque,01 Apr 2019
Tyson & Grover Underwood & Percy Jackson & Annabeth Chase,01 Apr 2019
Percy Jackson & Piper McLean,01 Apr 2019
Zia Rashid & Sadie Kane,01 Apr 2019
Magnus Chase & Annabeth Chase & Percy Jackson & Alex Fierro,01 Apr 2019
Apollo & Rachel Elizabeth Dare,01 Apr 2019
Sadie Kane & Leo Valdez,01 Apr 2019
Nico di Angelo & Magnus Chase & Alex Fierro,01 Apr 2019
Apollo & Jasmine 'Jaz' Anderson,01 Apr 2019
Annabeth Chase & Jason Grace,01 Apr 2019
Piper McLean & Leo Valdez,01 Apr 2019
"Jasmine ""Jaz"" Anderson & Magnus Chase & Will Solace",01 Apr 2019
"Will Solace & Jasmine ""Jaz"" Anderson",01 Apr 2019
Jason Grace & Reyna Avila Ramírez-Arellano,01 Apr 2019
Nico di Angelo/Jason Grace,01 Apr 2019
Nico di Angelo & Original Character(s),01 Apr 2019
Nico di Angelo & the di Angelo family,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Nico di Angelo/Jason Grace,01 Apr 2019
Jason Grace/Piper McLean,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Hazel Levesque/Frank Zhang,01 Apr 2019
Reyna Avila Ramírez-Arellano/Leo Valdez,01 Apr 2019
Nico di Angelo/Will Solace,01 Apr 2019
endgame Nico Di Angelo/Jason Grace,01 Apr 2019
Jason Grace/Leo Valdez,01 Apr 2019
Minor or Background Relationship(s),01 Apr 2019
Nico di Angelo/Jason Grace,01 Apr 2019
percabeth - Relationship,01 Apr 2019
Solangelo - Relationship,01 Apr 2019
Annabeth Chase/Percy Jackson,01 Apr 2019
Luke Castellan/Thalia Grace,01 Apr 2019
Percy Jackson/Original Female Character(s),31 Mar 2019
Clarisse La Rue/Chris Rodriguez,31 Mar 2019
Silena Beauregard/Charles Beckendorf,31 Mar 2019
Jason Grace/Piper McLean,31 Mar 2019
Hazel Levesque/Frank Zhang,31 Mar 2019
Calypso/Leo Valdez,31 Mar 2019
Annabeth Chase/Reyna Avila Ramírez-Arellano,31 Mar 2019
Jason Grace & Reyna Avila Ramírez-Arellano,31 Mar 2019
Jason Grace/Piper McLean,31 Mar 2019
(mentioned) - Relationship,31 Mar 2019
Percy Jackson/Melinda Ouro’Boros,31 Mar 2019
Jason Grace/Leo Valdez,31 Mar 2019
Original Female Character/Original Male Character,31 Mar 2019
Original Female Character(s) - Relationship,31 Mar 2019
Jason Grace/Piper McLean,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Nico di Angelo/Percy Jackson,31 Mar 2019
Nico di Angelo/Will Solace,31 Mar 2019
Jason Grace/Piper McLean,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Other Relationship Tags to Be Added,31 Mar 2019
All Pairings are Romance Only,31 Mar 2019
Nico di Angelo/Will Solace,31 Mar 2019
Annabeth Chase & Percy Jackson,31 Mar 2019
Jason Grace/Piper McLean,31 Mar 2019
Calypso/Leo Valdez,31 Mar 2019
Hazel Levesque/Frank Zhang,31 Mar 2019
Luke Castellan/Ethan Nakamura,31 Mar 2019
Silena Beauregard/Charles Beckendorf,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Silena Beauregard/Charles Beckendorf,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Percy Jackson & Poseidon,31 Mar 2019
Nico di Angelo/Will Solace,31 Mar 2019
Annabeth Chase/Percy Jackson,31 Mar 2019
Nico di Angelo/Will Solace,31 Mar 2019
Piper McLean & Leo Valdez,29 Mar 2019
Leo Valdez & The Seven,29 Mar 2019
Jason Grace & Leo Valdez,29 Mar 2019
Hephaestus & Leo Valdez,29 Mar 2019
Other Relationship Tags to Be Added,29 Mar 2019
Jason Grace/Leo Valdez,29 Mar 2019
Travis Stoll/Original Female Character(s),29 Mar 2019
Mitchell/Connor Stoll,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Percy Jackson,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Piper McLean,29 Mar 2019
Hazel Levesque/Frank Zhang,29 Mar 2019
Nico di Angelo/Leo Valdez,29 Mar 2019
Leo Valdez & Bianca di Angelo,29 Mar 2019
Bianca di Angelo & Nico di Angelo,29 Mar 2019
Hazel Levesque/Frank Zhang (background),29 Mar 2019
Jason Grace/Percy Jackson (background),29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Nico di Angelo/Percy Jackson,29 Mar 2019
