Ship,Date
Annabeth Chase & Thalia Grace,08 Oct 2018
Nico di Angelo/Jason Grace,08 Oct 2018
Nico di Angelo/Leo Valdez,08 Oct 2018
Annabeth Chase/Percy Jackson,08 Oct 2018
Amphitrite/Poseidon (Percy Jackson),08 Oct 2018
Paul Blofis/Sally Jackson,08 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Luke Castellan/Percy Jackson,06 Oct 2018
Luke Castellan & Percy Jackson,06 Oct 2018
Luke Castellan/Percy Jackson,06 Oct 2018
slight Annabeth Chase/Percy Jackson,06 Oct 2018
I will add relationship tags as I see fit,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Paul Blofis/Sally Jackson,06 Oct 2018
Thalia Grace/Percy Jackson,06 Oct 2018
Nico di Angelo/Jason Grace,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Hazel Levesque/Frank Zhang,06 Oct 2018
Calypso/Leo Valdez,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
percabeth - Relationship,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Luke Castellan/Percy Jackson/Octavian,06 Oct 2018
Jason Grace/Piper McLean,06 Oct 2018
Annabeth Chase/Percy Jackson,06 Oct 2018
Paul Blofis/Sally Jackson,06 Oct 2018
Nico di Angelo/Percy Jackson,06 Oct 2018
Jason Grace/Leo Valdez,06 Oct 2018
Will Solace/Original Male Character(s),06 Oct 2018
Nico di Angelo/Will Solace,06 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Annabeth Chase/Percy Jackson,02 Oct 2018
Jason Grace/Piper McLean,02 Oct 2018
Calypso/Leo Valdez,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Hazel Levesque/Frank Zhang,02 Oct 2018
Nico di Angelo/Percy Jackson,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Malcolm Pace/Reyna Avila Ramírez-Arellano,02 Oct 2018
Malcolm Pace & Reyna Avila Ramírez-Arellano,02 Oct 2018
Jason Grace/Reyna Avila Ramírez-Arellano,02 Oct 2018
Jason Grace & Reyna Avila Ramírez-Arellano,02 Oct 2018
Jason Grace & Piper McLean,02 Oct 2018
Jason Grace/Piper McLean,02 Oct 2018
Annabeth Chase/Percy Jackson,02 Oct 2018
Annabeth Chase & Percy Jackson,02 Oct 2018
Percy Jackson/Will Solace,02 Oct 2018
Annabeth Chase/Percy Jackson,02 Oct 2018
Annabeth Chase/Percy Jackson,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Will Solace/Drew Tanaka,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Percy Jackson/Neptune,02 Oct 2018
Annabeth Chase/Percy Jackson,02 Oct 2018
Hazel/frank/leo,02 Oct 2018
Nico di Angelo/Will Solace,02 Oct 2018
Percy/?,02 Oct 2018
Sally Jackson/Poseidon,02 Oct 2018
Jason Grace/Percy Jackson,30 Sep 2018
Piper McLean/Reyna Avila Ramírez-Arellano,30 Sep 2018
Past one-sided Piper McLean/Annabeth Chase,30 Sep 2018
Arranged marriage for Piper McLean/Jason Grace but the ship is zero-sided,30 Sep 2018
Nico di Angelo/ Will Solace/ Clovis,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,30 Sep 2018
Side Pairing- Nico di Angelo/Will Solace,30 Sep 2018
Nico di Angelo/Will Solace(eventually),30 Sep 2018
Nico di Angelo & Percy Jackson,30 Sep 2018
Nico di Angelo & Jason Grace,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Solangelo - Relationship,30 Sep 2018
Jason Grace/Piper McLean,30 Sep 2018
Annabeth Chase/Percy Jackson,30 Sep 2018
Calypso/Leo Valdez,30 Sep 2018
Hazel Levesque/Frank Zhang,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Annabeth Chase/Percy Jackson,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Juniper/Grover Underwood (mentioned),30 Sep 2018
Calypso/Leo Valdez (mentioned),30 Sep 2018
Jason Grace/Piper McLean (Past),30 Sep 2018
Hera/Zeus (Percy Jackson),30 Sep 2018
Annabeth Chase & Percy Jackson & Grover Underwood,30 Sep 2018
Nico di Angelo & Percy Jackson,30 Sep 2018
Annabeth Chase & Thalia Grace,30 Sep 2018
Percy Jackson & Poseidon,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Annabeth Chase/Percy Jackson,30 Sep 2018
Nico di Angelo/Will Solace,30 Sep 2018
Will Solace & Kayla Knowles,30 Sep 2018
Will Solace & Austin Lake,30 Sep 2018
Will Solace & Cecil Markowitz (mentioned),30 Sep 2018
Will Solace & Lou Ellen Blackstone (mentioned),30 Sep 2018
Will Solace & Drew Tanaka (mentioned),30 Sep 2018
Will Solace & Original Character(s),30 Sep 2018
Gabriel/Monique,30 Sep 2018
Nico di Angelo/Jason Grace,30 Sep 2018
Luke Castellan/Percy Jackson,30 Sep 2018
Jason Grace/Leo Valdez,30 Sep 2018
Apollo/Percy Jackson,27 Sep 2018
Jason Grace/Percy Jackson,27 Sep 2018
Nico di Angelo/Leo Valdez,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Nico di Angelo/Percy Jackson,27 Sep 2018
Jason Grace/Piper McLean,27 Sep 2018
Hazel Levesque/Frank Zhang,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
but in the past - Relationship,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Calypso/Leo Valdez,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
Nico di Angelo/Percy Jackson,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Sally Jackson/Poseidon,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
Jason Grace/Piper McLean,27 Sep 2018
Percy Jackson/Kronos,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Nico di Angelo & Will Solace,27 Sep 2018
Everyone & Everyone,27 Sep 2018
Hazel Levesque/Frank Zhang,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Jason Grace/Piper McLean,27 Sep 2018
Calypso/Leo Valdez,27 Sep 2018
Leo Valdez & Frank Zhang,27 Sep 2018
Percy Jackson & Frank Zhang,27 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
Jason Grace/Piper McLean,27 Sep 2018
Hazel Levesque/Frank Zhang,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Nico di Angelo/Will Solace,27 Sep 2018
Annabeth Chase/Percy Jackson,27 Sep 2018
Paul Blofis/Sally Jackson (mentioned),27 Sep 2018
Hazel Levesque/Frank Zhang (mentioned),27 Sep 2018
Jason Grace/Piper McLean (mentioned),27 Sep 2018
Annabeth Chase & Percy Jackson & Grover Underwood,27 Sep 2018
Juniper/Grover Underwood,27 Sep 2018
Carter Kane & Sadie Kane,27 Sep 2018
Thalia Grace/Percy Jackson,24 Sep 2018
Annabeth Chase/Thalia Grace(One-sided),24 Sep 2018
Luke Castellan/Percy Jackson,24 Sep 2018
Luke Castellan/Annabeth Chase,24 Sep 2018
Luke Castellan & Annabeth Chase & Thalia Grace,24 Sep 2018
Percy Jackson & Grover Underwood,24 Sep 2018
Bianca di Angelo/Percy Jackson,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Annabeth Chase/Percy Jackson,24 Sep 2018
Jason Grace/Piper McLean,24 Sep 2018
Calypso/Leo Valdez,24 Sep 2018
Thanatos/OMC,24 Sep 2018
OMC/OMC,24 Sep 2018
Thalia Grace/Original Character(s),24 Sep 2018
Malcolm Pace/Original Male Character(s),24 Sep 2018
(Past) Percy Jackson/Luke Castellan,24 Sep 2018
Nico di Angelo/Jason Grace/Percy Jackson,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Nico di Angelo/Percy Jackson,24 Sep 2018
Annabeth Chase/Nico di Angelo(One-Sided),24 Sep 2018
Nico di Angelo & Luke Castellan & Annabeth Chase,24 Sep 2018
Annabeth Chase & Percy Jackson,24 Sep 2018
Annabeth Chase & Percy Jackson,24 Sep 2018
Nico di Angelo & Hazel Levesque,24 Sep 2018
Annabeth Chase/Percy Jackson,24 Sep 2018
Annabeth Chase/Percy Jackson,24 Sep 2018
Magnus Chase/Alex Fierro,24 Sep 2018
Calypso/Leo Valdez,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Hazel Levesque/Frank Zhang,24 Sep 2018
Sadie Kane/Walt Stone,24 Sep 2018
Carter Kane/Zia Rashid,24 Sep 2018
More to be added - Relationship,24 Sep 2018
Leo Valdez & The Seven,24 Sep 2018
Annabeth Chase/Percy Jackson,24 Sep 2018
Jason Grace/Percy Jackson,24 Sep 2018
implied will/nico if you squint,24 Sep 2018
Jason Grace & Thalia Grace,24 Sep 2018
Jason Grace/Reyna Avila Ramírez-Arellano,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Annabeth Chase/Percy Jackson,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Percy Jackson/Nico Di Angelo/Will Solace/Jason Grace,24 Sep 2018
Percy/Nico/Will/Jason,24 Sep 2018
Percy/Will/Jason/Nico,24 Sep 2018
Percy/Jason/Will/Nico,24 Sep 2018
Jasercillico - Relationship,24 Sep 2018
Jercillico - Relationship,24 Sep 2018
Solangelacksonace - Relationship,24 Sep 2018
Nico di Angelo/Percy Jackson,24 Sep 2018
Jason Grace/Percy Jackson,24 Sep 2018
Nico di Angelo/Jason Grace/Percy Jackson,24 Sep 2018
Nico di Angelo/Will Solace,24 Sep 2018
Nico di Angelo/Jason Grace,24 Sep 2018
Percy Jackson/Will Solace,24 Sep 2018
Jason Grace/Will Solace,24 Sep 2018
Nico di Angelo/Percy Jackson,24 Sep 2018
Nico di Angelo/Jason Grace,24 Sep 2018
Nico di Angelo/Jason Grace/Percy Jackson,24 Sep 2018
Nico x Will - Relationship,24 Sep 2018
percy x annabeth,24 Sep 2018
Piper x Jason,24 Sep 2018
Leo x Calypso,24 Sep 2018
Hazel x Frank,24 Sep 2018
Annabeth Chase/Jason Grace/Percy Jackson,23 Sep 2018
Luke Castellan/Thalia Grace,23 Sep 2018
Annabeth Chase/Percy Jackson,23 Sep 2018
Silena Beauregard/Clarisse La Rue,23 Sep 2018
Nico di Angelo/Will Solace,23 Sep 2018
Minor or Background Relationship(s),23 Sep 2018
Jason Grace/Percy Jackson,23 Sep 2018
Nico di Angelo/Will Solace,23 Sep 2018
Hazel Levesque/Frank Zhang,23 Sep 2018
Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,23 Sep 2018
Calypso/Leo Valdez,23 Sep 2018
Jason Grace/Leo Valdez,23 Sep 2018
Nico di Angelo/Percy Jackson,23 Sep 2018
Luke Castellan/Percy Jackson,23 Sep 2018
Jason Grace/Reader,23 Sep 2018
Annabeth Chase/Percy Jackson,23 Sep 2018
Frederick Chase/Mrs. Chase,23 Sep 2018
Annabeth Chase/Percy Jackson,23 Sep 2018
Annabeth Chase/Percy Jackson,23 Sep 2018
Drew Tanaka & Lacy,23 Sep 2018
Drew Tanaka & Mitchell,23 Sep 2018
Nico di Angelo/Will Solace,23 Sep 2018
Annabeth Chase/Percy Jackson,23 Sep 2018
Nico di Angelo/Will Solace,23 Sep 2018
Family - Relationship,23 Sep 2018
Friendship - Relationship,23 Sep 2018
Nico di Angelo/Will Solace,23 Sep 2018
Jason Grace/Will Solace,23 Sep 2018
mentioned Nico di Angelo/Will Solace,23 Sep 2018
Helios/Apollo/Percy Jackson,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Annabeth Chase/Percy Jackson,19 Sep 2018
Jason Grace/Piper McLean,19 Sep 2018
Juniper/Grover Underwood,19 Sep 2018
Calypso/Leo Valdez,19 Sep 2018
Hazel Levesque/Frank Zhang,19 Sep 2018
Annabeth Chase/Percy Jackson,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Jason Grace/Piper McLean,19 Sep 2018
Hazel Levesque/Frank Zhang,19 Sep 2018
Percy Jackson & Sally Jackson,19 Sep 2018
Frank Zhang & Grandma Zhang,19 Sep 2018
Silena Beauregard & Piper McLean,19 Sep 2018
Annabeth Chase/Percy Jackson,19 Sep 2018
Nico di Angelo & Will Solace,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Paul Blofis/Sally Jackson,19 Sep 2018
Jason Grace & Thalia Grace,19 Sep 2018
Hazel Levesque & Piper McLean,19 Sep 2018
Annabeth Chase & Piper McLean,19 Sep 2018
Nico di Angelo & Hazel Levesque & Reyna Avila Ramírez-Arellano,19 Sep 2018
Annabeth Chase & Thalia Grace & Clarissse La Rue,19 Sep 2018
Luke Castellan/Thalia Grace,19 Sep 2018
Jason Grace/Piper McLean,19 Sep 2018
Jason Grace & Thalia Grace,19 Sep 2018
Jason Grace/Piper McLean/Leo Valdez,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Solangelo - Relationship,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Solangelo - Relationship,19 Sep 2018
Percy/Jason(BrOTP),19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Other pairings included - Relationship,19 Sep 2018
Artemis/Percy Jackson,19 Sep 2018
Apollo/Percy Jackson,19 Sep 2018
Other side pairings - Relationship,19 Sep 2018
Nico di Angelo/Percy Jackson,19 Sep 2018
percabeth - Relationship,19 Sep 2018
Jiper - Relationship,19 Sep 2018
Frazel,19 Sep 2018
Caleo,19 Sep 2018
Solangelo - Relationship,19 Sep 2018
more later - Relationship,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Annabeth Chase/Percy Jackson,19 Sep 2018
Jason Grace/Leo Valdez,19 Sep 2018
Nico di Angelo/Will Solace,19 Sep 2018
Hazel Levesque/Frank Zhang,19 Sep 2018
Annabeth Chase/Percy Jackson,19 Sep 2018
Nico di Angelo & Reyna Avila Ramírez-Arellano,19 Sep 2018
Nico di Angelo & Percy Jackson,19 Sep 2018
Annabeth Chase & Nico di Angelo,19 Sep 2018
Will Solace/Connor Stoll - past relationship,19 Sep 2018
Valentina Diaz/Malcolm Pace,19 Sep 2018
Frederick Chase & Annabeth Chase,19 Sep 2018
Luke Castellan/Percy Jackson,19 Sep 2018
Annabeth Chase/Luke Castellan (one sided),19 Sep 2018
Poseidon/Amphitrite,19 Sep 2018
Sally Jackson/Tartarus,19 Sep 2018
Triton/Percy Jackson (brotherly),19 Sep 2018
Silena Beauregard/Charles Beckendorf,19 Sep 2018
Reyna Avila Ramírez-Arellano/Drew Tanaka,15 Sep 2018
Annabeth Chase/Alex Fierro,15 Sep 2018
Other Relationship Tags to Be Added,15 Sep 2018
Nico di Angelo/Leo Valdez,15 Sep 2018
Silena Beauregard/Clarisse La Rue,15 Sep 2018
Jason Grace/Frank Zhang,15 Sep 2018
Nico di Angelo/Will Solace,15 Sep 2018
Nico di Angelo & Percy Jackson,15 Sep 2018
Minor or Background Relationship(s),15 Sep 2018
Annabeth Chase/Percy Jackson,15 Sep 2018
Mitchell/Connor Stoll,15 Sep 2018
Nico di Angelo/Percy Jackson,15 Sep 2018
. - Relationship,15 Sep 2018
Nico di Angelo/Will Solace,15 Sep 2018
Percy Jackson & Grover Underwood,15 Sep 2018
Annabeth Chase & Grover Underwood,15 Sep 2018
Annabeth Chase & Percy Jackson & Grover Underwood,15 Sep 2018
Juniper/Grover Underwood,15 Sep 2018
Nico di Angelo/Will Solace,15 Sep 2018
Percy Jackson/Kronos,15 Sep 2018
Annabeth Chase/Percy Jackson,15 Sep 2018
Apollo/Percy Jackson,15 Sep 2018
Annabeth Chase/Percy Jackson,15 Sep 2018
Juniper/Grover Underwood,15 Sep 2018
Jason Grace/Piper McLean,15 Sep 2018
Piper McLean/Leo Valdez,15 Sep 2018
Jason Grace/Piper McLean,15 Sep 2018
Nico di Angelo/Will Solace,15 Sep 2018
Percy Jackson & Grover Underwood,15 Sep 2018
Annabeth Chase & Grover Underwood,15 Sep 2018
Annabeth Chase/Percy Jackson,15 Sep 2018
Nico di Angelo/Will Solace,15 Sep 2018
Percy Jackson/Zeus,15 Sep 2018
Ganymede/Zeus,15 Sep 2018
Ganymede/Percy Jackson,15 Sep 2018
Ganymede/Percy Jackson/Zeus,15 Sep 2018
Jason Grace/Percy Jackson,15 Sep 2018
Percy Jackson & Grover Underwood,12 Sep 2018
Lacy & Drew Tanaka,12 Sep 2018
Sadie Kane & Drew Tanaka,12 Sep 2018
Luke Castellan/Percy Jackson,12 Sep 2018
Annabeth Chase/Reyna Avila Ramírez-Arellano,12 Sep 2018
Hazel Levesque/Frank Zhang,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Jason Grace/Piper McLean,12 Sep 2018
Calypso/Leo Valdez,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Nico di Angelo/Leo Valdez,12 Sep 2018
Percy Jackson/Mitchell,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Annabeth Chase & Percy Jackson,12 Sep 2018
Luke Castellan & Annabeth Chase & Thalia Grace,12 Sep 2018
Annabeth Chase & Rachel Elizabeth Dare,12 Sep 2018
Silena Beauregard & Annabeth Chase,12 Sep 2018
Percy Jackson & Grover Underwood,12 Sep 2018
Annabeth Chase & Thalia Grace,12 Sep 2018
Jason Grace/Piper McLean,12 Sep 2018
Hazel Levesque/Frank Zhang,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Calypso/Leo Valdez,12 Sep 2018
Ella/Tyson,12 Sep 2018
Hades/Maria di Angelo,12 Sep 2018
Bianca di Angelo & Nico di Angelo,12 Sep 2018
Annabeth Chase & Nico di Angelo,12 Sep 2018
Medusa (Percy Jackson)/Posideon (Percy Jackson),12 Sep 2018
Kelli (Percy Jackson)/Luke Castellan,12 Sep 2018
Jason Grace & Piper McLean & Leo Valdez,12 Sep 2018
Luke Castellan/Percy Jackson,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Juniper/Grover Underwood,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Annabeth Chase & Piper McLean,12 Sep 2018
Percy Jackson & Grover Underwood,12 Sep 2018
Jason Grace/Percy Jackson,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Jason Grace/Piper McLean,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Nico di Angelo/Will Solace,12 Sep 2018
Annabeth Chase/Percy Jackson,12 Sep 2018
Jason Grace/Piper McLean,12 Sep 2018
Calypso/Leo Valdez,12 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,12 Sep 2018
Hazel Levesque/Frank Zhang,12 Sep 2018
Hera/Percy Jackson,12 Sep 2018
Apollo/Hyacinthus (Percy Jackson),12 Sep 2018
Athena/Percy Jackson,10 Sep 2018
Gaia/Percy Jackson,10 Sep 2018
Artemis/Percy Jackson,10 Sep 2018
Hazel Levesque/Frank Zhang,10 Sep 2018
Annabeth Chase/Percy Jackson,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Jason Grace/Piper McLean,10 Sep 2018
Calypso/Leo Valdez,10 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,10 Sep 2018
Katie Gardner/Travis Stoll,10 Sep 2018
Nico di Angelo & Percy Jackson,10 Sep 2018
Nico di Angelo & Jason Grace,10 Sep 2018
Nico di Angelo & Thalia Grace & Percy Jackson,10 Sep 2018
Annabeth Chase & Piper McLean,10 Sep 2018
Nico di Angelo/Jason Grace,10 Sep 2018
Nico di Angelo & Percy Jackson,10 Sep 2018
Jason Grace & Percy Jackson,10 Sep 2018
Percy Jackson & Hazel Levesque,10 Sep 2018
Annabeth Chase & Percy Jackson,10 Sep 2018
Rachel Elizabeth Dare & Percy Jackson,10 Sep 2018
Pre Nico di Angelo/Percy Jackson,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Piper McLean/Reyna Avila Ramírez-Arellano,10 Sep 2018
Hades/Calypso,10 Sep 2018
Apollo/Hyacinthus (Percy Jackson),10 Sep 2018
Rachel Elizabeth Dare/Reyna Avila Ramírez-Arellano,10 Sep 2018
Annabeth Chase/Percy Jackson,10 Sep 2018
Hazel Levesque & Frank Zhang,10 Sep 2018
Jason Grace & Piper McLean,10 Sep 2018
Calypso/Leo Valdez,10 Sep 2018
Jason Grace/Leo Valdez,10 Sep 2018
Jason Grace/Piper McLean,10 Sep 2018
Annabeth Chase/Percy Jackson,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Others/Others,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Mitchell/Connor Stoll,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Jason Grace & Percy Jackson,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Solangelo - Relationship,10 Sep 2018
Annabeth Chase/Percy Jackson,10 Sep 2018
Cecil Markowitz/Jake Mason,10 Sep 2018
Mitchell/Connor Stoll,10 Sep 2018
Nico di Angelo/Will Solace,10 Sep 2018
Nico di Angelo/Percy Jackson,07 Sep 2018
Jason Grace/Piper McLean,07 Sep 2018
Nico di Angelo & Hazel Levesque,07 Sep 2018
Hazel Levesque/Frank Zhang,07 Sep 2018
Nico di Angelo/Will Solace,07 Sep 2018
Nico di Angelo/Percy Jackson,07 Sep 2018
Nico di Angelo/Will Solace,07 Sep 2018
Annabeth Chase/Percy Jackson,07 Sep 2018
Percy Jackson/Drew Tanaka,07 Sep 2018
Nico di Angelo/Jason Grace,07 Sep 2018
background Annabeth Chase/Percy Jackson,07 Sep 2018
Leo Valdez/Frank Zhang,07 Sep 2018
Nico di Angelo/Will Solace,07 Sep 2018
Nico di Angelo/Percy Jackson,07 Sep 2018
Piper McLean/Jason Grace,07 Sep 2018
Annabeth Chase/Reyna Avila Ramírez-Arellano,07 Sep 2018
Hazel Levesque/Frank Zhang,07 Sep 2018
Luke Castellan/Thalia Grace,07 Sep 2018
Calypso/Leo Valdez,07 Sep 2018
Jason Grace/Piper McLean,07 Sep 2018
Jason Grace/Leo Valdez,07 Sep 2018
Nico di Angelo/Percy Jackson,07 Sep 2018
Leo Valdez/Frank Zhang,07 Sep 2018
Nico di Angelo/Jason Grace,07 Sep 2018
Nico di Angelo/Percy Jackson,07 Sep 2018
Silena Beauregard/Clarisse La Rue,07 Sep 2018
None,07 Sep 2018
Annabeth Chase/Percy Jackson,07 Sep 2018
Piper McLean/Reyna Avila Ramírez-Arellano,07 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Rachel Elizabeth Dare/Percy Jackson,03 Sep 2018
Jason Grace/Percy Jackson,03 Sep 2018
Annabeth Chase/Piper McLean,03 Sep 2018
Nico di Angelo/Percy Jackson,03 Sep 2018
Calypso/Leo Valdez,03 Sep 2018
Calypso & Jason Grace,03 Sep 2018
Calypso & Piper McLean,03 Sep 2018
Calypso & Nico di Angelo,03 Sep 2018
Calypso/Percy Jackson,03 Sep 2018
Calypso/Nico di Angelo,03 Sep 2018
Calypso & Annabeth Chase,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Piper McLean & Leo Valdez,03 Sep 2018
Leo Valdez/Thalia Grace,03 Sep 2018
Piper McLean/Jason Grace,03 Sep 2018
Calypso/Luke Castellan,03 Sep 2018
Calypso/Odysseus,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Percy Jackson/Jason Grace,03 Sep 2018
jercy,03 Sep 2018
Jason Grace/Percy Jackson,03 Sep 2018
Frazel,03 Sep 2018
Hazel Levesque/Frank Zhang,03 Sep 2018
Solangelo - Relationship,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
past Luke/Percy,03 Sep 2018
Octavian/Leo Valdez,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Jason Grace/Piper McLean,03 Sep 2018
Percy Jackson/Triton,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Hazel Levesque/Frank Zhang,03 Sep 2018
Jason Grace/Piper McLean,03 Sep 2018
Valgrace - Relationship,03 Sep 2018
Jeo - Relationship,03 Sep 2018
Lason - Relationship,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Paul Blofis/Sally Jackson,03 Sep 2018
Annabeth Chase & Thalia Grace & Grover Underwood,03 Sep 2018
Annabeth Chase & Sally Jackson,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Jason Grace/Piper McLean,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Jason Grace/Piper McLean,03 Sep 2018
Lou Ellen/Kayla,03 Sep 2018
Calypso/Leo Valdez,03 Sep 2018
Hazel Levesque/Frank Zhang,03 Sep 2018
Original Female Character/Original Female Character,03 Sep 2018
Rachel Elizabeth Dare/Reyna Avila Ramírez-Arellano,03 Sep 2018
Clarisse La Rue/Chris Rodriguez,03 Sep 2018
Annabeth Chase/Piper McLean,03 Sep 2018
Percy Jackson & Leo Valdez,03 Sep 2018
Percy Jackson & Annabeth Chase,03 Sep 2018
Jason Grace & Piper McLean,03 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,03 Sep 2018
Hazel Levesque/Frank Zhang,03 Sep 2018
Hazel Levesque & Frank Zhang,03 Sep 2018
Jason Grace/Percy Jackson/Leo Valdez,03 Sep 2018
Jason Grace & Leo Valdez,03 Sep 2018
Jaoson Grace/Brick,03 Sep 2018
Percy Jackon & Brick,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Nico di Angelo & Percy Jackson,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Michael Kahale/Leo Valdez,03 Sep 2018
Nico di Angelo/Will Solace,03 Sep 2018
Jason Grace/Piper McLean,03 Sep 2018
Hazel Levesque/Frank Zhang,03 Sep 2018
Annabeth Chase/Percy Jackson,03 Sep 2018
Apollo & Artemis (Percy Jackson),01 Sep 2018
percabeth - Relationship,01 Sep 2018
Solangelo - Relationship,01 Sep 2018
jasper - Relationship,01 Sep 2018
Thalia Grace/Reyna Avila Ramírez-Arellano,01 Sep 2018
Percy Jackson/Nico di Angelo,01 Sep 2018
Percy Jackson/Annabeth Chase,01 Sep 2018
Will Solace/Nico di Angelo,01 Sep 2018
Valgrace - Relationship,01 Sep 2018
Lason - Relationship,01 Sep 2018
